realm,school,mindfulness,class,reading_skill,pupil_id
rohan,König-Theoden-Gesamtschule,FALSE,d,21.9,75
rohan,König-Theoden-Gesamtschule,FALSE,d,29.1,76
rohan,König-Theoden-Gesamtschule,FALSE,d,25.9,77
rohan,König-Theoden-Gesamtschule,FALSE,d,26.8,78
rohan,König-Theoden-Gesamtschule,FALSE,d,21.5,79
rohan,König-Theoden-Gesamtschule,FALSE,d,32.7,80
rohan,König-Theoden-Gesamtschule,FALSE,d,18.9,81
rohan,König-Theoden-Gesamtschule,FALSE,d,28.3,82
rohan,König-Theoden-Gesamtschule,FALSE,d,32.5,83
rohan,König-Theoden-Gesamtschule,FALSE,d,30.5,84
rohan,Helms-Klamm-Schule,TRUE,a,18.5,85
rohan,Helms-Klamm-Schule,TRUE,a,16.4,86
rohan,Helms-Klamm-Schule,TRUE,a,21.6,87
rohan,Helms-Klamm-Schule,TRUE,a,13.7,88
rohan,Helms-Klamm-Schule,TRUE,a,14.399999999999999,89
rohan,Helms-Klamm-Schule,TRUE,a,25.1,90
rohan,Helms-Klamm-Schule,TRUE,a,20.9,91
rohan,Helms-Klamm-Schule,TRUE,a,17.4,92
rohan,Helms-Klamm-Schule,TRUE,a,24.6,93
rohan,Helms-Klamm-Schule,TRUE,a,24.9,94
rohan,Helms-Klamm-Schule,TRUE,a,15.7,95
rohan,Helms-Klamm-Schule,TRUE,a,17.4,96
rohan,Helms-Klamm-Schule,TRUE,a,20,97
rohan,Helms-Klamm-Schule,TRUE,a,23.1,98
rohan,Helms-Klamm-Schule,TRUE,a,17.5,99
rohan,Helms-Klamm-Schule,TRUE,a,21,100
rohan,Helms-Klamm-Schule,TRUE,a,21.2,101
rohan,Helms-Klamm-Schule,TRUE,a,21.8,102
rohan,Helms-Klamm-Schule,TRUE,a,19.7,103
rohan,Helms-Klamm-Schule,TRUE,a,24.799999999999997,104
rohan,Helms-Klamm-Schule,TRUE,a,22.299999999999997,105
rohan,Helms-Klamm-Schule,TRUE,a,21.5,106
rohan,Helms-Klamm-Schule,TRUE,a,18.1,107
rohan,Helms-Klamm-Schule,TRUE,b,16.6,108
rohan,Helms-Klamm-Schule,TRUE,b,16.6,109
rohan,Helms-Klamm-Schule,TRUE,b,21.3,110
rohan,Helms-Klamm-Schule,TRUE,b,22.799999999999997,111
rohan,Helms-Klamm-Schule,TRUE,b,15.3,112
rohan,Helms-Klamm-Schule,TRUE,b,23.1,113
rohan,Helms-Klamm-Schule,TRUE,b,21.1,114
rohan,Helms-Klamm-Schule,TRUE,b,18.1,115
rohan,Helms-Klamm-Schule,TRUE,b,16.1,116
rohan,Helms-Klamm-Schule,TRUE,b,17.5,117
rohan,Helms-Klamm-Schule,TRUE,b,20.7,118
rohan,Helms-Klamm-Schule,TRUE,b,15.899999999999999,119
rohan,Helms-Klamm-Schule,TRUE,b,21.3,120
rohan,Helms-Klamm-Schule,TRUE,b,20.8,121
rohan,Helms-Klamm-Schule,TRUE,b,13.2,122
rohan,Helms-Klamm-Schule,TRUE,b,14.2,123
rohan,Helms-Klamm-Schule,TRUE,b,21.5,124
rohan,Helms-Klamm-Schule,TRUE,b,18.9,125
rohan,Helms-Klamm-Schule,TRUE,b,16.1,126
rohan,Helms-Klamm-Schule,TRUE,b,17.7,127
rohan,Helms-Klamm-Schule,TRUE,b,16.3,128
rohan,Helms-Klamm-Schule,TRUE,b,16.4,129
rohan,Helms-Klamm-Schule,TRUE,c,20.9,130
rohan,Helms-Klamm-Schule,TRUE,c,21.2,131
rohan,Helms-Klamm-Schule,TRUE,c,14.899999999999999,132
rohan,Helms-Klamm-Schule,TRUE,c,23.799999999999997,133
rohan,Helms-Klamm-Schule,TRUE,c,30.299999999999997,134
rohan,Helms-Klamm-Schule,TRUE,c,22,135
rohan,Helms-Klamm-Schule,TRUE,c,18.8,136
rohan,Helms-Klamm-Schule,TRUE,c,19.7,137
rohan,Helms-Klamm-Schule,TRUE,c,21.2,138
rohan,Helms-Klamm-Schule,TRUE,c,21.2,139
rohan,Helms-Klamm-Schule,TRUE,c,16.5,140
rohan,Helms-Klamm-Schule,TRUE,c,24.9,141
rohan,Helms-Klamm-Schule,TRUE,c,13.100000000000001,142
rohan,Helms-Klamm-Schule,TRUE,c,19.8,143
rohan,Helms-Klamm-Schule,TRUE,c,14.3,144
rohan,Helms-Klamm-Schule,TRUE,c,22.200000000000003,145
rohan,Helms-Klamm-Schule,TRUE,c,17.2,146
rohan,Helms-Klamm-Schule,TRUE,c,23.4,147
rohan,Helms-Klamm-Schule,TRUE,c,25,148
rohan,Helms-Klamm-Schule,TRUE,c,23.6,149
rohan,Helms-Klamm-Schule,TRUE,c,21.8,150
rohan,Helms-Klamm-Schule,TRUE,c,22.1,151
rohan,Helms-Klamm-Schule,TRUE,c,19.2,152
rohan,Helms-Klamm-Schule,FALSE,d,16.4,153
rohan,Helms-Klamm-Schule,FALSE,d,9.899999999999999,154
rohan,Helms-Klamm-Schule,FALSE,d,16.5,155
rohan,Helms-Klamm-Schule,FALSE,d,17.799999999999997,156
rohan,Helms-Klamm-Schule,FALSE,d,9.8,157
rohan,Helms-Klamm-Schule,FALSE,d,10.7,158
rohan,Helms-Klamm-Schule,FALSE,d,12.100000000000001,159
rohan,Helms-Klamm-Schule,FALSE,d,16.8,160
rohan,Helms-Klamm-Schule,FALSE,d,12.100000000000001,161
rohan,Helms-Klamm-Schule,FALSE,d,19,162
rohan,Helms-Klamm-Schule,FALSE,d,14.2,163
rohan,Helms-Klamm-Schule,FALSE,d,13.899999999999999,164
rohan,Helms-Klamm-Schule,FALSE,d,10.8,165
rohan,Helms-Klamm-Schule,FALSE,d,8.3,166
rohan,Helms-Klamm-Schule,FALSE,d,13.8,167
rohan,Helms-Klamm-Schule,FALSE,d,19.799999999999997,168
rohan,Helms-Klamm-Schule,FALSE,d,8,169
rohan,Helms-Klamm-Schule,FALSE,d,15.3,170
rohan,Helms-Klamm-Schule,FALSE,d,11.5,171
rohan,Schildmaid-Eowyn-Schule,TRUE,a,27.2,172
rohan,Schildmaid-Eowyn-Schule,TRUE,a,31.9,173
rohan,Schildmaid-Eowyn-Schule,TRUE,a,29.5,174
rohan,Schildmaid-Eowyn-Schule,TRUE,a,24.3,175
rohan,Schildmaid-Eowyn-Schule,TRUE,a,27.2,176
rohan,Schildmaid-Eowyn-Schule,TRUE,a,31.9,177
rohan,Schildmaid-Eowyn-Schule,TRUE,a,34,178
rohan,Schildmaid-Eowyn-Schule,TRUE,a,35.7,179
rohan,Schildmaid-Eowyn-Schule,TRUE,a,30.2,180
rohan,Schildmaid-Eowyn-Schule,TRUE,a,31.8,181
rohan,Schildmaid-Eowyn-Schule,TRUE,a,31.7,182
rohan,Schildmaid-Eowyn-Schule,TRUE,a,30.9,183
rohan,Schildmaid-Eowyn-Schule,TRUE,a,35.5,184
rohan,Schildmaid-Eowyn-Schule,TRUE,a,26.6,185
rohan,Schildmaid-Eowyn-Schule,TRUE,a,25.5,186
rohan,Schildmaid-Eowyn-Schule,TRUE,a,32.6,187
rohan,Schildmaid-Eowyn-Schule,TRUE,a,23.5,188
rohan,Schildmaid-Eowyn-Schule,TRUE,a,21.5,189
rohan,Schildmaid-Eowyn-Schule,TRUE,a,34,190
rohan,Schildmaid-Eowyn-Schule,TRUE,a,32,191
rohan,Schildmaid-Eowyn-Schule,TRUE,a,31.2,192
rohan,Schildmaid-Eowyn-Schule,TRUE,a,29.2,193
rohan,Schildmaid-Eowyn-Schule,TRUE,a,36.8,194
rohan,Schildmaid-Eowyn-Schule,TRUE,a,26.2,195
rohan,Schildmaid-Eowyn-Schule,TRUE,b,23.9,196
rohan,Schildmaid-Eowyn-Schule,TRUE,b,32.1,197
rohan,Schildmaid-Eowyn-Schule,TRUE,b,33.5,198
rohan,Schildmaid-Eowyn-Schule,TRUE,b,32,199
rohan,Schildmaid-Eowyn-Schule,TRUE,b,29.9,200
rohan,Schildmaid-Eowyn-Schule,TRUE,b,33.4,201
rohan,Schildmaid-Eowyn-Schule,TRUE,b,32.5,202
rohan,Schildmaid-Eowyn-Schule,TRUE,b,31.9,203
rohan,Schildmaid-Eowyn-Schule,TRUE,b,34.1,204
rohan,Schildmaid-Eowyn-Schule,TRUE,b,32,205
rohan,Schildmaid-Eowyn-Schule,TRUE,b,17.4,206
rohan,Schildmaid-Eowyn-Schule,TRUE,b,32.3,207
rohan,Schildmaid-Eowyn-Schule,TRUE,b,31.2,208
rohan,Schildmaid-Eowyn-Schule,TRUE,b,28.6,209
rohan,Schildmaid-Eowyn-Schule,TRUE,b,26.9,210
rohan,Schildmaid-Eowyn-Schule,TRUE,b,32.5,211
rohan,Schildmaid-Eowyn-Schule,TRUE,b,33.4,212
rohan,Schildmaid-Eowyn-Schule,TRUE,c,25.4,213
rohan,Schildmaid-Eowyn-Schule,TRUE,c,29.1,214
rohan,Schildmaid-Eowyn-Schule,TRUE,c,30.6,215
rohan,Schildmaid-Eowyn-Schule,TRUE,c,32.7,216
rohan,Schildmaid-Eowyn-Schule,TRUE,c,28.8,217
rohan,Schildmaid-Eowyn-Schule,TRUE,c,21,218
rohan,Schildmaid-Eowyn-Schule,TRUE,c,28.3,219
rohan,Schildmaid-Eowyn-Schule,TRUE,c,37.7,220
rohan,Schildmaid-Eowyn-Schule,TRUE,c,27.3,221
rohan,Schildmaid-Eowyn-Schule,TRUE,c,31.6,222
rohan,Schildmaid-Eowyn-Schule,TRUE,c,24,223
rohan,Schildmaid-Eowyn-Schule,TRUE,c,29.8,224
rohan,Schildmaid-Eowyn-Schule,TRUE,c,25.8,225
rohan,Schildmaid-Eowyn-Schule,TRUE,c,19.2,226
rohan,Schildmaid-Eowyn-Schule,TRUE,c,29.4,227
rohan,Schildmaid-Eowyn-Schule,TRUE,c,30.4,228
rohan,Schildmaid-Eowyn-Schule,TRUE,c,30.9,229
rohan,Schildmaid-Eowyn-Schule,FALSE,d,28.200000000000003,230
rohan,Schildmaid-Eowyn-Schule,FALSE,d,28.4,231
rohan,Schildmaid-Eowyn-Schule,FALSE,d,24,232
rohan,Schildmaid-Eowyn-Schule,FALSE,d,23.8,233
rohan,Schildmaid-Eowyn-Schule,FALSE,d,23.8,234
rohan,Schildmaid-Eowyn-Schule,FALSE,d,26.7,235
rohan,Schildmaid-Eowyn-Schule,FALSE,d,24.4,236
rohan,Schildmaid-Eowyn-Schule,FALSE,d,31,237
rohan,Schildmaid-Eowyn-Schule,FALSE,d,20.4,238
rohan,Schildmaid-Eowyn-Schule,FALSE,d,27.299999999999997,239
rohan,Schildmaid-Eowyn-Schule,FALSE,d,22.1,240
rohan,Schildmaid-Eowyn-Schule,FALSE,d,24.2,241
rohan,Schildmaid-Eowyn-Schule,FALSE,d,23.5,242
rohan,Schildmaid-Eowyn-Schule,FALSE,d,30.6,243
rohan,Schildmaid-Eowyn-Schule,FALSE,d,22.5,244
rohan,Schildmaid-Eowyn-Schule,FALSE,d,26.7,245
rohan,Schildmaid-Eowyn-Schule,FALSE,d,28.6,246
rohan,Schildmaid-Eowyn-Schule,FALSE,d,14.600000000000001,247
rohan,Schildmaid-Eowyn-Schule,FALSE,d,25,248
rohan,Schildmaid-Eowyn-Schule,FALSE,d,27.200000000000003,249
rohan,Schildmaid-Eowyn-Schule,FALSE,d,23.9,250
rohan,Königliche Schule zu Edoras,TRUE,a,19.9,251
rohan,Königliche Schule zu Edoras,TRUE,a,28.200000000000003,252
rohan,Königliche Schule zu Edoras,TRUE,a,24,253
rohan,Königliche Schule zu Edoras,TRUE,a,24.5,254
rohan,Königliche Schule zu Edoras,TRUE,a,31.4,255
rohan,Königliche Schule zu Edoras,TRUE,a,22.4,256
rohan,Königliche Schule zu Edoras,TRUE,a,22.3,257
rohan,Königliche Schule zu Edoras,TRUE,a,31.200000000000003,258
rohan,Königliche Schule zu Edoras,TRUE,a,27.8,259
rohan,Königliche Schule zu Edoras,TRUE,a,22.4,260
rohan,Königliche Schule zu Edoras,TRUE,a,24.9,261
rohan,Königliche Schule zu Edoras,TRUE,a,26,262
rohan,Königliche Schule zu Edoras,TRUE,a,26.8,263
rohan,Königliche Schule zu Edoras,TRUE,a,27.6,264
rohan,Königliche Schule zu Edoras,TRUE,a,22.9,265
rohan,Königliche Schule zu Edoras,TRUE,a,22.8,266
rohan,Königliche Schule zu Edoras,TRUE,a,26.4,267
rohan,Königliche Schule zu Edoras,TRUE,b,20.6,268
rohan,Königliche Schule zu Edoras,TRUE,b,32.5,269
rohan,Königliche Schule zu Edoras,TRUE,b,26,270
rohan,Königliche Schule zu Edoras,TRUE,b,25,271
rohan,Königliche Schule zu Edoras,TRUE,b,26.4,272
rohan,Königliche Schule zu Edoras,TRUE,b,26.8,273
rohan,Königliche Schule zu Edoras,TRUE,b,21.4,274
rohan,Königliche Schule zu Edoras,TRUE,b,27.6,275
rohan,Königliche Schule zu Edoras,TRUE,b,23.4,276
rohan,Königliche Schule zu Edoras,TRUE,b,28.299999999999997,277
rohan,Königliche Schule zu Edoras,TRUE,b,19.6,278
rohan,Königliche Schule zu Edoras,TRUE,b,26.3,279
rohan,Königliche Schule zu Edoras,TRUE,b,19.9,280
rohan,Königliche Schule zu Edoras,TRUE,b,27.4,281
rohan,Königliche Schule zu Edoras,TRUE,b,25,282
rohan,Königliche Schule zu Edoras,TRUE,b,33.7,283
rohan,Königliche Schule zu Edoras,TRUE,b,24.8,284
rohan,Königliche Schule zu Edoras,TRUE,b,26,285
rohan,Königliche Schule zu Edoras,TRUE,b,23.7,286
rohan,Königliche Schule zu Edoras,TRUE,b,22.1,287
rohan,Königliche Schule zu Edoras,TRUE,c,29.200000000000003,288
rohan,Königliche Schule zu Edoras,TRUE,c,28.799999999999997,289
rohan,Königliche Schule zu Edoras,TRUE,c,22.9,290
rohan,Königliche Schule zu Edoras,TRUE,c,29.700000000000003,291
rohan,Königliche Schule zu Edoras,TRUE,c,19,292
rohan,Königliche Schule zu Edoras,TRUE,c,25.7,293
rohan,Königliche Schule zu Edoras,TRUE,c,35.2,294
rohan,Königliche Schule zu Edoras,TRUE,c,17,295
rohan,Königliche Schule zu Edoras,TRUE,c,31.5,296
rohan,Königliche Schule zu Edoras,TRUE,c,28.200000000000003,297
rohan,Königliche Schule zu Edoras,TRUE,c,29.700000000000003,298
rohan,Königliche Schule zu Edoras,TRUE,c,28.5,299
rohan,Königliche Schule zu Edoras,TRUE,c,24,300
rohan,Königliche Schule zu Edoras,TRUE,c,22.1,301
rohan,Königliche Schule zu Edoras,TRUE,c,19,302
rohan,Königliche Schule zu Edoras,TRUE,c,25.8,303
rohan,Königliche Schule zu Edoras,TRUE,c,24.8,304
rohan,Königliche Schule zu Edoras,FALSE,d,17.2,305
rohan,Königliche Schule zu Edoras,FALSE,d,25.6,306
rohan,Königliche Schule zu Edoras,FALSE,d,32.3,307
rohan,Königliche Schule zu Edoras,FALSE,d,21.7,308
rohan,Königliche Schule zu Edoras,FALSE,d,18.3,309
rohan,Königliche Schule zu Edoras,FALSE,d,20,310
rohan,Königliche Schule zu Edoras,FALSE,d,18.2,311
rohan,Königliche Schule zu Edoras,FALSE,d,21,312
rohan,Königliche Schule zu Edoras,FALSE,d,17.2,313
rohan,Königliche Schule zu Edoras,FALSE,d,23.5,314
rohan,Königliche Schule zu Edoras,FALSE,d,23.4,315
rohan,Königliche Schule zu Edoras,FALSE,d,20,316
rohan,Königliche Schule zu Edoras,FALSE,d,15.600000000000001,317
rohan,Königliche Schule zu Edoras,FALSE,d,14,318
rohan,Königliche Schule zu Edoras,FALSE,d,22.4,319
rohan,Königliche Schule zu Edoras,FALSE,d,17.8,320
gondor,Gandalf-Gymnasium,TRUE,a,37,321
gondor,Gandalf-Gymnasium,TRUE,a,35.6,322
gondor,Gandalf-Gymnasium,TRUE,a,37.3,323
gondor,Gandalf-Gymnasium,TRUE,a,24.6,324
gondor,Gandalf-Gymnasium,TRUE,a,24.4,325
gondor,Gandalf-Gymnasium,TRUE,a,43.3,326
gondor,Gandalf-Gymnasium,TRUE,a,38.3,327
gondor,Gandalf-Gymnasium,TRUE,a,34.1,328
gondor,Gandalf-Gymnasium,TRUE,a,35.1,329
gondor,Gandalf-Gymnasium,TRUE,a,41.3,330
gondor,Gandalf-Gymnasium,TRUE,a,37.8,331
gondor,Gandalf-Gymnasium,TRUE,a,30.4,332
gondor,Gandalf-Gymnasium,TRUE,a,35.8,333
gondor,Gandalf-Gymnasium,TRUE,a,37.7,334
gondor,Gandalf-Gymnasium,TRUE,a,38.5,335
gondor,Gandalf-Gymnasium,TRUE,a,41.9,336
gondor,Gandalf-Gymnasium,TRUE,a,34.1,337
gondor,Gandalf-Gymnasium,TRUE,a,28.200000000000003,338
gondor,Gandalf-Gymnasium,TRUE,a,31.5,339
gondor,Gandalf-Gymnasium,TRUE,a,35,340
gondor,Gandalf-Gymnasium,TRUE,a,36.4,341
gondor,Gandalf-Gymnasium,TRUE,a,35.2,342
gondor,Gandalf-Gymnasium,TRUE,a,32.4,343
gondor,Gandalf-Gymnasium,FALSE,b,20.1,344
gondor,Gandalf-Gymnasium,FALSE,b,28.4,345
gondor,Gandalf-Gymnasium,FALSE,b,28.700000000000003,346
gondor,Gandalf-Gymnasium,FALSE,b,34.6,347
gondor,Gandalf-Gymnasium,FALSE,b,29.799999999999997,348
gondor,Gandalf-Gymnasium,FALSE,b,33,349
gondor,Gandalf-Gymnasium,FALSE,b,29.1,350
gondor,Gandalf-Gymnasium,FALSE,b,27,351
gondor,Gandalf-Gymnasium,FALSE,b,28.200000000000003,352
gondor,Gandalf-Gymnasium,FALSE,b,35.4,353
gondor,Gandalf-Gymnasium,FALSE,b,27.5,354
gondor,Gandalf-Gymnasium,FALSE,b,27.299999999999997,355
gondor,Gandalf-Gymnasium,FALSE,b,24.9,356
gondor,Gandalf-Gymnasium,FALSE,b,26.4,357
gondor,Gandalf-Gymnasium,FALSE,b,27.1,358
gondor,Gandalf-Gymnasium,FALSE,b,25.1,359
gondor,Gandalf-Gymnasium,FALSE,b,28.299999999999997,360
gondor,Gandalf-Gymnasium,FALSE,b,31.4,361
gondor,Gandalf-Gymnasium,FALSE,b,28.6,362
gondor,Gandalf-Gymnasium,FALSE,b,27.5,363
gondor,Gandalf-Gymnasium,FALSE,c,31,364
gondor,Gandalf-Gymnasium,FALSE,c,24.1,365
gondor,Gandalf-Gymnasium,FALSE,c,22.799999999999997,366
gondor,Gandalf-Gymnasium,FALSE,c,29.5,367
gondor,Gandalf-Gymnasium,FALSE,c,34.7,368
gondor,Gandalf-Gymnasium,FALSE,c,32.2,369
gondor,Gandalf-Gymnasium,FALSE,c,34.5,370
gondor,Gandalf-Gymnasium,FALSE,c,41.2,371
gondor,Gandalf-Gymnasium,FALSE,c,36,372
gondor,Gandalf-Gymnasium,FALSE,c,32.6,373
gondor,Gandalf-Gymnasium,FALSE,c,32.6,374
gondor,Gandalf-Gymnasium,FALSE,c,34.5,375
gondor,Gandalf-Gymnasium,FALSE,c,27,376
gondor,Gandalf-Gymnasium,FALSE,c,30.5,377
gondor,Gandalf-Gymnasium,FALSE,c,32,378
gondor,Gandalf-Gymnasium,FALSE,c,28.1,379
gondor,Gandalf-Gymnasium,FALSE,c,34,380
gondor,Gandalf-Gymnasium,FALSE,c,29.9,381
gondor,Gandalf-Gymnasium,FALSE,c,36.7,382
gondor,Gandalf-Gymnasium,FALSE,c,30.700000000000003,383
gondor,Gandalf-Gymnasium,FALSE,c,23,384
gondor,Gandalf-Gymnasium,FALSE,c,26.700000000000003,385
gondor,Gandalf-Gymnasium,FALSE,d,27.6,386
gondor,Gandalf-Gymnasium,FALSE,d,24.4,387
gondor,Gandalf-Gymnasium,FALSE,d,31.9,388
gondor,Gandalf-Gymnasium,FALSE,d,29.700000000000003,389
gondor,Gandalf-Gymnasium,FALSE,d,30.5,390
gondor,Gandalf-Gymnasium,FALSE,d,25.5,391
gondor,Gandalf-Gymnasium,FALSE,d,32.4,392
gondor,Gandalf-Gymnasium,FALSE,d,24.700000000000003,393
gondor,Gandalf-Gymnasium,FALSE,d,36.9,394
gondor,Gandalf-Gymnasium,FALSE,d,26.799999999999997,395
gondor,Gandalf-Gymnasium,FALSE,d,29.1,396
gondor,Gandalf-Gymnasium,FALSE,d,34.7,397
gondor,Gandalf-Gymnasium,FALSE,d,30.1,398
gondor,Gandalf-Gymnasium,FALSE,d,30.9,399
gondor,Gandalf-Gymnasium,FALSE,d,32.9,400
gondor,Gandalf-Gymnasium,FALSE,d,25,401
gondor,Gandalf-Gymnasium,FALSE,d,30.200000000000003,402
gondor,Gandalf-Gymnasium,FALSE,d,34.1,403
gondor,Gandalf-Gymnasium,FALSE,d,28.9,404
gondor,Gandalf-Gymnasium,FALSE,d,25.200000000000003,405
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,39.4,406
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,41.5,407
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,34.5,408
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,42.9,409
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,44.9,410
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,39,411
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,40.6,412
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,42.1,413
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,38.1,414
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,45.7,415
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,40.4,416
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,46.4,417
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,43.5,418
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,39.8,419
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,40.9,420
gondor,Wirtschaftsgymnasium Osgiliath,TRUE,a,36.3,421
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,38.7,422
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,29.200000000000003,423
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,33.8,424
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,41.8,425
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,36.2,426
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,44.6,427
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,40.2,428
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,37,429
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,35.9,430
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,28.6,431
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,33.2,432
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,37.7,433
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,36.5,434
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,35.8,435
gondor,Wirtschaftsgymnasium Osgiliath,FALSE,b,39.1,436
